Document,Clauses,Vars,WalkSat Time,WalkSat Clauses,WalkSat Solves,Local Search Time,Local Search Clauses Solved,Local Solve %
uf20-0156.cnf,91,20,0.0123782,90.4,0.4,0.0331897,90.4,0.4
uf20-0157.cnf,91,20,0.0371273,89.6,0.1,0.0220565,90.2,0.6
uf20-0158.cnf,91,20,0.008985,90.9,0.9,0.007047,91,1
uf20-0159.cnf,91,20,0.0113031,90.5,0.7,0.022168,90.6,0.6
uf20-0160.cnf,91,20,0.0007418,90.8,0.8,0.0187888,90.7,0.7
uf20-0161.cnf,91,20,0.0381188,90,0.3,0.0330102,90.1,0.4
uf20-0162.cnf,91,20,0.0023982,90.2,0.5,0.0118388,90.8,0.8
uf20-0163.cnf,91,20,0.0200864,90.7,0.7,0.0226302,90.6,0.6
uf20-0164.cnf,91,20,0.0003538,90.8,0.8,0.0059967,90.9,0.9
uf20-0165.cnf,91,20,0.0013567,90.2,0.5,0.0294224,90.4,0.5
uf50-01.cnf,218,50,0.195403,217.1,0.5,0.115315,217,0.2
uf50-02.cnf,218,50,0.131383,217.1,0.2,0.113862,217.2,0.2
uf50-03.cnf,218,50,0.0041467,218,1,0.0298143,217.6,0.8
uf50-04.cnf,218,50,0.199003,217.1,0.3,0.107188,216.6,0.2
uf50-05.cnf,218,50,0.0046409,218,1,0.0313897,217.7,0.8
uf50-06.cnf,218,50,0.3594,217,0,0.137097,216.8,0
uf50-07.cnf,218,50,0.0689428,217.5,0.8,0.0605946,217.3,0.6
uf50-08.cnf,218,50,0.270172,216.8,0.4,0.124867,216.5,0.1
uf50-09.cnf,218,50,0.230798,216.9,0.1,0.0758744,217.5,0.5
uf50-010.cnf,218,50,0.049517,217.3,0.7,0.0529562,217.6,0.6
uf75-01.cnf,325,75,0.569043,322.9,0.2,0.152972,323.4,0.3
uf75-02.cnf,325,75,0.13589,324.6,0.8,0.112373,324.4,0.5
uf75-03.cnf,325,75,0.716197,323,0,0.201014,322.9,0
uf75-04.cnf,325,75,0.54153,322.7,0,0.21546,323,0
uf75-05.cnf,325,75,0.601123,323.5,0,0.202484,323.6,0
uf75-06.cnf,325,75,0.425444,323.7,0.3,0.186216,323.7,0.1
uf75-07.cnf,325,75,0.331545,324,0.3,0.206769,323.7,0.1
uf75-08.cnf,325,75,0.383454,323.4,0.1,0.206988,323.3,0
uf75-09.cnf,325,75,0.095962,324.8,0.9,0.1062,324.4,0.6
uf75-010.cnf,325,75,0.21176,324.5,0.7,0.109963,324.3,0.6
uuf50-01.cnf,218,50,0.297195,216.2,0,0.137452,216.2,0
uuf50-02.cnf,218,50,0.293568,216.2,0,0.134124,216.2,0
uuf50-03.cnf,218,50,0.437458,216.7,0,0.141081,216.6,0
uuf50-04.cnf,218,50,0.340098,216,0,0.138002,216.1,0
uuf50-05.cnf,218,50,0.287536,217,0,0.13286,216.8,0
uuf50-06.cnf,218,50,0.39282,216.2,0,0.139818,216.3,0
uuf50-07.cnf,218,50,0.312611,216.7,0,0.13848,216.6,0
uuf50-08.cnf,218,50,0.307496,215.5,0,0.138597,215.8,0
uuf50-09.cnf,218,50,0.314037,216.2,0,0.137611,216.5,0
uuf50-010.cnf,218,50,0.23438,216.1,0,0.137092,216.3,0
uuf75-01.cnf,325,75,0.481456,323.2,0,0.202993,323.4,0
uuf75-02.cnf,325,75,0.614862,323.2,0,0.204392,322.7,0
uuf75-03.cnf,325,75,0.595566,323.2,0,0.204144,322.7,0
uuf75-04.cnf,325,75,0.501764,322.9,0,0.208975,322.8,0
uuf75-05.cnf,325,75,0.569517,322.3,0,0.210865,321.9,0
uuf75-06.cnf,325,75,0.659936,322.4,0,0.201811,322.8,0
uuf75-07.cnf,325,75,0.669444,321.6,0,0.208839,321.9,0
uuf75-08.cnf,325,75,0.644842,323.5,0,0.208882,323.3,0
uuf75-09.cnf,325,75,0.383984,323.8,0,0.207784,323.6,0
uuf75-010.cnf,325,75,0.714433,322.7,0,0.211551,322.8,0
100.410.1010795163.cnf,410,100,0.630234,408.1,0,0.225605,408.4,0
100.410.1039232932.cnf,410,100,0.144881,409.8,0.8,0.113058,409.7,0.7
100.410.1059004828.cnf,410,100,0.315049,409.1,0.4,0.19848,408.8,0.2
100.410.1162274926.cnf,410,100,0.0892217,410,1,0.147638,409.6,0.6
100.410.1167671470.cnf,410,100,0.408047,408.4,0,0.22438,408.5,0
100.410.1169081110.cnf,410,100,0.550901,408.7,0.4,0.195161,408.8,0.3
100.410.1198757303.cnf,410,100,0.236088,409.7,0.7,0.182434,409.2,0.3
